"Date","Year","Quarter","FY","QFY","Month","PCTOT_EX_GDP","PCTOT_EX","PCTOT_IM_GDP","PCTOT_IM","PCTOT_NEX_GDP","PCTOT_NEX"
2004-04-01,2004,"Q2","2003/04","Q4","April",98.3123397827148,64.3141708374023,97.3407821655273,54.1932907104492,101.027526855469,114.317253112793
2004-05-01,2004,"Q2","2003/04","Q4","May",98.2599105834961,63.4030685424805,97.4840393066406,56.5083999633789,100.825958251953,111.222923278809
2004-06-01,2004,"Q2","2003/04","Q4","June",98.2353515625,62.9722099304199,97.3060836791992,53.6941108703613,100.986206054688,113.676483154297
2004-07-01,2004,"Q3","2004/05","Q1","July",98.0552749633789,59.940372467041,97.3728256225586,54.7825469970703,100.733581542969,109.831008911133
2004-08-01,2004,"Q3","2004/05","Q1","August",98.0987167358398,60.6634750366211,97.5234069824219,57.2467460632324,100.623115539551,108.187713623047
2004-09-01,2004,"Q3","2004/05","Q1","September",98.1853179931641,62.1215972900391,97.5315322875977,57.3909530639648,100.703826904297,109.386138916016
2004-10-01,2004,"Q4","2004/05","Q2","October",98.0425262451172,59.7278289794922,97.7383270263672,60.9569282531738,100.344955444336,104.150161743164
2004-11-01,2004,"Q4","2004/05","Q2","November",98.1340942382813,61.2456130981445,97.5317993164063,57.4074249267578,100.650978088379,108.60009765625
2004-12-01,2004,"Q4","2004/05","Q2","December",98.4234161376953,66.3012847900391,97.3523178100586,54.4987106323242,101.134048461914,115.984512329102
2005-01-01,2005,"Q1","2004/05","Q3","January",98.4833602905273,67.4204483032227,97.5229339599609,57.1112251281738,101.019409179688,114.227523803711
2005-02-01,2005,"Q1","2004/05","Q3","February",98.6948089599609,71.5090942382813,97.585205078125,58.0933570861816,101.171646118164,116.566184997559
2005-03-01,2005,"Q1","2004/05","Q3","March",98.8866271972656,75.4156723022461,97.9334945678711,63.8801193237305,101.009155273438,114.071617126465
2005-04-01,2005,"Q2","2004/05","Q4","April",98.7521514892578,72.6455917358398,97.8532409667969,62.5083618164063,100.955902099609,113.26481628418
2005-05-01,2005,"Q2","2004/05","Q4","May",98.7907257080078,73.4319458007813,97.7059936523438,60.046947479248,101.14714050293,116.186653137207
2005-06-01,2005,"Q2","2004/05","Q4","June",98.8682250976563,75.0348205566406,97.9610595703125,64.3741912841797,100.96223449707,113.360511779785
2005-07-01,2005,"Q3","2005/06","Q1","July",98.7937774658203,73.4972763061523,98.0947494506836,66.7529373168945,100.748809814453,110.177543640137
2005-08-01,2005,"Q3","2005/06","Q1","August",98.731819152832,72.2441635131836,98.2696914672852,70.0100860595703,100.505805969238,106.654457092285
2005-09-01,2005,"Q3","2005/06","Q1","September",98.6278610229492,70.1829376220703,98.3095779418945,70.7673873901367,100.358810424805,104.574081420898
2005-10-01,2005,"Q4","2005/06","Q2","October",98.6510391235352,70.6300430297852,98.2416763305664,69.4635314941406,100.452049255371,105.889297485352
2005-11-01,2005,"Q4","2005/06","Q2","November",98.6201019287109,70.024055480957,98.0657424926758,66.2265625,100.60066986084,108.017219543457
2005-12-01,2005,"Q4","2005/06","Q2","December",98.7669448852539,72.9413299560547,98.1689987182617,68.1092300415039,100.643798828125,108.642059326172
2006-01-01,2006,"Q1","2005/06","Q3","January",99.0058212280273,77.7046737670898,98.4493713378906,73.0024032592773,100.59846496582,108.030303955078
2006-02-01,2006,"Q1","2005/06","Q3","February",99.0612411499023,78.8754959106445,98.4649658203125,73.3005828857422,100.63809967041,108.564949035645
2006-03-01,2006,"Q1","2005/06","Q3","March",99.0989990234375,79.6603240966797,98.4851379394531,73.660758972168,100.656150817871,108.809265136719
2006-04-01,2006,"Q2","2005/06","Q4","April",99.2797164916992,83.5305633544922,98.7701034545898,79.0231323242188,100.549125671387,107.368133544922
2006-05-01,2006,"Q2","2005/06","Q4","May",99.4323806762695,86.9602203369141,98.8749542236328,81.0998764038086,100.598182678223,108.02653503418
2006-06-01,2006,"Q2","2005/06","Q4","June",99.4247360229492,86.8043365478516,98.8238677978516,80.083137512207,100.641082763672,108.605354309082
2006-07-01,2006,"Q3","2006/07","Q1","July",99.4559478759766,87.5214538574219,99.0021438598633,83.6788940429688,100.490257263184,106.583015441895
2006-08-01,2006,"Q3","2006/07","Q1","August",99.5097427368164,88.7629013061523,98.9053497314453,81.7095336914063,100.645614624023,108.66675567627
2006-09-01,2006,"Q3","2006/07","Q1","September",99.2572860717773,83.0481414794922,98.550163269043,74.8718719482422,100.755233764648,110.15943145752
2006-10-01,2006,"Q4","2006/07","Q2","October",99.138313293457,80.4845275878906,98.4883117675781,73.7634124755859,100.700157165527,109.40714263916
2006-11-01,2006,"Q4","2006/07","Q2","November",99.2542114257813,82.9752349853516,98.5759506225586,75.3971939086914,100.732078552246,109.842567443848
