"Date","Year","Quarter","FY","QFY","Month","RNNA","KPRIV_PCH","KPUBL_PCH","RNNA_PCH","KPRIV_GDP","KPRIV","PRIV_RINV_GDP","PRIV_RINV","KPUBL_GDP","KPUBL","PUBL_RINV_GDP","PUBL_RINV","RINV","RNNA_GDP","RINV_GDP"
2000-01-01,2000,"Q1","1999/00","Q3","January",80.774528503418,7.35851287841797,6.15933799743652,6.89164066314697,173.381576538086,49.4419937133789,20.9235076904297,7.02661466598511,109.875930786133,31.332540512085,9.82654571533203,2.21893095970154,9.24554634094238,283.257476806641,30.7500514984131
2001-01-01,2001,"Q1","2000/01","Q3","January",86.4612808227539,8.59278678894043,3.9132559299469,6.80350208282471,173.712036132813,53.8783111572266,22.6548957824707,7.6869797706604,105.052551269531,32.5829696655273,7.15417766571045,2.42746734619141,10.114447593689,278.764587402344,29.8090763092041
2002-01-01,2002,"Q1","2001/02","Q3","January",92.8337860107422,8.75394248962402,4.33471012115479,7.11139535903931,177.105880737305,58.8073844909668,23.1503124237061,8.49154376983643,102.474822998047,34.0264053344727,7.31062507629395,2.68154001235962,11.1730842590332,279.580688476563,30.4609394073486
2003-01-01,2003,"Q1","2002/03","Q3","January",100.050094604492,9.00562000274658,4.80405712127686,7.48603582382202,182.552429199219,64.3491439819336,24.0897045135498,9.64598083496094,101.280220031738,35.7009544372559,7.60727500915527,3.04609894752502,12.6920795440674,283.832641601563,31.6969814300537
2004-01-01,2004,"Q1","2003/04","Q3","January",108.494003295898,9.54588985443115,5.44671106338501,8.10238933563232,189.821548461914,70.7945861816406,25.8637733459473,11.5671434402466,101.083450317383,37.6994132995605,8.16750621795654,3.65278220176697,15.2199258804321,290.905029296875,34.0312767028809
2005-01-01,2005,"Q1","2004/05","Q3","January",119.072372436523,10.7509098052979,6.52797889709473,9.30365753173828,192.138397216797,78.8298416137695,28.1935405731201,12.7937288284302,98.0863876342773,40.2425270080566,8.90322399139404,4.04012489318848,16.8338527679443,290.224792480469,37.0967636108398
2006-01-01,2006,"Q1","2005/06","Q3","January",130.751525878906,10.6197605133057,6.83543252944946,9.35672950744629,199.595657348633,87.6620635986328,29.1297359466553,14.715916633606,98.1093826293945,43.089469909668,9.1988639831543,4.64713191986084,19.3630485534668,297.705017089844,38.3285980224609
2007-01-01,2007,"Q1","2006/07","Q3","January",144.340744018555,11.0479459762573,7.485191822052,9.88780117034912,206.277221679688,97.9021682739258,31.0060386657715,15.3092784881592,97.8448333740234,46.4385795593262,9.7913818359375,4.83450889587402,20.1437873840332,304.122039794922,40.797420501709
2008-01-01,2008,"Q1","2007/08","Q3","January",157.965316772461,9.92521667480469,7.0839147567749,9.01987171173096,206.289306640625,108.117744445801,29.2101955413818,16.9272899627686,95.1094665527344,49.8475685119629,9.22427272796631,5.34545946121216,22.2727489471436,301.398773193359,38.4344673156738
2009-01-01,2009,"Q1","2008/09","Q3","January",172.968612670898,9.86730670928955,7.32968807220459,9.07346534729004,212.997924804688,119.330139160156,30.2143077850342,17.6933345794678,95.7418060302734,53.6384735107422,9.54135990142822,5.58736848831177,23.2807025909424,308.73974609375,39.7556686401367
2010-01-01,2010,"Q1","2009/10","Q3","January",188.173675537109,9.05560684204102,7.00935029983521,8.42551898956299,215.573150634766,130.640594482422,29.1961917877197,20.3184127807617,94.9367065429688,57.5330810546875,9.21984958648682,6.41634035110474,26.7347526550293,310.509857177734,38.4160385131836
2011-01-01,2011,"Q1","2010/11","Q3","January",206.056838989258,9.68979072570801,7.67698335647583,9.07867050170898,224.337829589844,143.932998657227,31.6688232421875,21.4106101989746,96.8278961181641,62.1238479614258,10.0006799697876,6.76124477386475,28.171854019165,321.165710449219,41.6695022583008
2012-01-01,2012,"Q1","2011/12","Q3","January",224.466232299805,9.04749774932861,7.4123330116272,8.55732345581055,237.886291503906,157.562606811523,32.3255043029785,22.3600730895996,101.010368347168,66.9036331176758,10.2080526351929,6.4361457824707,28.7962188720703,338.896636962891,42.5335540771484
2013-01-01,2013,"Q1","2012/13","Q3","January",242.623092651367,8.42631721496582,6.23567247390747,7.7783899307251,247.141571044922,171.414749145508,32.2382049560547,21.7634563446045,102.666442871094,71.2083435058594,9.2794771194458,7.45773649215698,29.2211933135986,349.808013916016,41.5176811218262
2014-01-01,2014,"Q1","2013/14","Q3","January",260.529998779297,7.13448286056519,7.08814859390259,7.12088346481323,253.871871948242,184.091125488281,30.0130138397217,21.7248458862305,105.413459777832,76.4388809204102,10.2846326828003,9.48927879333496,31.2141246795654,359.285339355469,40.2976455688477
2015-01-01,2015,"Q1","2014/15","Q3","January",279.814819335938,6.38771438598633,8.9321928024292,7.14100122451782,256.037963867188,196.234039306641,28.3456707000732,20.9638843536377,109.052688598633,83.5807647705078,12.3812141418457,10.7103815078735,31.6742649078369,365.090667724609,40.7268829345703
2016-01-01,2016,"Q1","2015/16","Q3","January",298.836944580078,5.38294506072998,9.32567405700684,6.57700634002686,263.401672363281,207.086685180664,26.6647872924805,21.5099716186523,116.700736999512,91.750244140625,13.6229543685913,11.497410774231,33.007381439209,380.102416992188,40.2877388000488
2017-01-01,2017,"Q1","2016/17","Q3","January",318.475708007813,5.13504505157471,9.08614063262939,6.36481142044067,264.075469970703,217.998443603516,26.0564060211182,,121.714546203613,100.477272033691,13.9275493621826,,,385.790008544922,39.9839515686035
