"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_SEC","EXP_DPD_RAW","EXP_DPD_AGR","EXP_DPD_EDU","EXP_DPD_HEA","EXP_DPD_WAE","EXP_DPD_JLO","EXP_DPD_ACC","EXP_DPD_EAM","EXP_DPD_TTI","EXP_DPD_LHUD","EXP_DPD_SD","EXP_DPD_ICT","EXP_DPD_PSM","EXP_DPD_PAD","EXP_DPD_PARL","EXP_DPD_STD","EXP_DPD_TOU","EXP_DPD_LGOV","EXP_DPD_I","EXP_DPD_I_DOM","EXP_DPD_I_EXT","EXP_DPD_CEN_TOT","EXP_DPD_LGP_TOT","EXP_DPD_I_TOT","EXP_DPD"
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,65.5826619451694,0,0,65.5826619451694
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,80.7193258593052,0,0,80.7193258593052
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,66.3150616139764,0,0,66.3150616139764
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,52.1314580245559,0,0,52.1314580245559
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,114.876691916841,0,0,114.876691916841
2008-07-01,2008,"Q3","2008/09","Q1","July",4.22536940217391,16.0032110207128,8.36893308590346,4.80433740575921,0.245091032608696,0.973888090080163,0.502100025163044,1.16816092840908,8.11250282067936,0,0,0,0,0.676117933818277,0.00958028167663044,0,,,,0,0,0,45.0892920269847,0,0,45.0892920269847
2008-08-01,2008,"Q3","2008/09","Q1","August",0.72738176,11.6011363792379,2.84481602564846,0.0191993065,0.1912215694846,0.017704683109,0,0.9615716859194,16.0151776937142,0,0,0,0,0.8901053239378,0,0.0902739701566,,,,0,0,0,33.3585883977079,0,0,33.3585883977079
2008-09-01,2008,"Q3","2008/09","Q1","September",0,14.9388686966194,13.0458840263686,10.6886793712293,2.5380620599049,1.96358739110246,0.01804411469,3.28767915077,2.82958228517791,2.0516907704585,0,0,2.83282109695369,1.67709543824221,0.0307781371,0.00341339575,,,,0,0,0,55.906185934367,0,0,55.906185934367
2008-10-01,2008,"Q4","2008/09","Q2","October",0,9.78025692683433,28.1716839709522,0.159168187107,3.808488259413,2.48148322659,0.0203286672,7.246273251519,13.1043990574847,0,0,0,0,4.02365139328663,0,0,,,,0,0,0,68.7957329403869,0,0,68.7957329403869
2008-11-01,2008,"Q4","2008/09","Q2","November",4.9395186,2.09486252216952,5.33837102019538,40.022286181152,1.396813401063,1.463633130495,3.05616,2.207760280692,19.420720172309,0,0,0.1412041425,0,4.769485012584,0,0.02580869817,,,,0,0,0,84.8766231613299,0,0,84.8766231613299
