"Date","Year","Quarter","FY","QFY","Month","EXPI_99","EXPI_05","IMPI_99","IMPI_05","TOT_99","TOT_05"
2008-06-01,2008,"Q2","2007/08","Q4","June",159.921892744786,159.89050046302,179.1315908753,179.1315908753,89.276208603603,89.2586838992152
2008-07-01,2008,"Q3","2008/09","Q1","July",161.253519294,161.221865617155,179.688925778936,179.688925778936,89.7403769291733,89.7227611096629
2008-08-01,2008,"Q3","2008/09","Q1","August",166.268341867746,166.235703793327,165.443076949555,165.443076949555,100.498821064869,100.479093388727
2008-09-01,2008,"Q3","2008/09","Q1","September",160.964014679753,161.016100788088,154.146488143837,154.146488143837,104.422758259374,104.456548265855
2008-10-01,2008,"Q4","2008/09","Q2","October",160.752090282735,160.720535035195,127.780791351613,127.780791351613,125.803016699431,125.778321870728
2008-11-01,2008,"Q4","2008/09","Q2","November",148.149126807352,148.12004549114,114.601460092711,114.601460092711,129.273332719758,129.247956676391
2008-12-01,2008,"Q4","2008/09","Q2","December",133.459742235343,133.433544409887,104.859559208084,104.859559208084,127.274750383515,127.24976665704
2009-01-01,2009,"Q1","2008/09","Q3","January",125.462697332721,125.438069307889,108.101497114058,111.315922125756,116.06009230413,112.686547362181
2009-02-01,2009,"Q1","2008/09","Q3","February",137.736941966115,137.70990453667,105.269527244165,108.830495238751,130.842177762083,126.536136984917
2009-03-01,2009,"Q1","2008/09","Q3","March",143.806562422622,143.778333541323,105.984908795496,108.243083621331,135.685885902969,132.829118250461
2009-04-01,2009,"Q2","2008/09","Q4","April",133.115609661762,133.0894793887,111.839882960314,113.663793396566,119.023380692375,117.090478341119
2009-05-01,2009,"Q2","2008/09","Q4","May",131.689637552384,131.663787194207,119.58373959429,121.668208664291,110.123364597198,108.215439875092
2009-06-01,2009,"Q2","2008/09","Q4","June",138.381203592782,138.354039696334,125.427512694236,128.555084828018,110.327631171419,107.622378283539
2009-07-01,2009,"Q3","2009/10","Q1","July",134.013437773789,133.987131259234,124.086873188738,128.604091369187,107.99968951587,104.185745439928
2009-08-01,2009,"Q3","2009/10","Q1","August",134.63459531398,134.608166867699,130.562966966078,136.555815542332,103.118517020956,98.5737343613688
2009-09-01,2009,"Q3","2009/10","Q1","September",150.644523004249,150.698634803906,127.551137099976,131.633222362063,118.105197985159,114.483739058976
2009-10-01,2009,"Q4","2009/10","Q2","October",150.54170360139,150.512152628125,130.38596385495,135.162872140371,115.458519575667,111.356136670293
2009-11-01,2009,"Q4","2009/10","Q2","November",147.003047184374,146.974190840828,135.41887859831,141.586301459177,108.554323227285,103.805374761628
2009-12-01,2009,"Q4","2009/10","Q2","December",155.382929767458,155.352428473175,138.567368009401,145.430482422381,112.1352970758,106.822466573395
2010-01-01,2010,"Q1","2009/10","Q3","January",156.511398734228,156.48067592421,140.986568042982,149.325312851768,111.01156720583,104.791795132245
2010-02-01,2010,"Q1","2009/10","Q3","February",156.1118304013,156.081186025581,138.131916295796,146.731219738332,113.016480613359,106.372172400613
2010-03-01,2010,"Q1","2009/10","Q3","March",154.565764225736,154.535423339078,142.137041652226,152.733961286847,108.744182676828,101.179477070491
2010-04-01,2010,"Q2","2009/10","Q4","April",154.155230097938,154.124969798139,151.364860450152,162.296843161619,101.843472546724,94.9648599416429
2010-05-01,2010,"Q2","2009/10","Q4","May",155.763538075746,155.73296206897,142.954547991495,153.290908992366,108.960183683707,101.593084086106
2010-06-01,2010,"Q2","2009/10","Q4","June",148.298437641109,148.269327015541,120.79762991253,147.817494804527,122.766015979364,100.305668968082
2010-07-01,2010,"Q3","2010/11","Q1","July",151.545530586008,143.146306977567,120.79762991253,149.704429777831,125.454059567015,95.6192860759055
2010-08-01,2010,"Q3","2010/11","Q1","August",140.380492097076,157.771051740673,120.79762991253,158.176483504218,116.211296694087,99.7436839190237
2010-09-01,2010,"Q3","2010/11","Q1","September",169.194300420801,166.46487244212,120.79762991253,161.923132715744,140.064255021655,102.804873923943
2010-10-01,2010,"Q4","2010/11","Q2","October",,157.942288256804,,170.833135385126,,92.4541295227878
2010-11-01,2010,"Q4","2010/11","Q2","November",,162.275130399325,,175.421547335353,,92.505814060062
2010-12-01,2010,"Q4","2010/11","Q2","December",,186.824668552651,,185.621621764949,,100.648117808832
2011-01-01,2011,"Q1","2010/11","Q3","January",,202.850118294544,,194.547270224446,,104.267779270569
2011-02-01,2011,"Q1","2010/11","Q3","February",,197.835194248089,,202.869501620716,,97.5184503671529
2011-03-01,2011,"Q1","2010/11","Q3","March",,196.776583987703,,202.417882832264,,97.2130432520944
2011-04-01,2011,"Q2","2010/11","Q4","April",,212.593687381146,,208.65115353093,,101.889533694637
2011-05-01,2011,"Q2","2010/11","Q4","May",,225.354260340872,,200.424787420731,,112.438318254423
2011-06-01,2011,"Q2","2010/11","Q4","June",,210.464544785143,,196.951224915355,,106.861252005716
2011-07-01,2011,"Q3","2011/12","Q1","July",,204.049331739932,,198.486641558327,,102.802551415013
2011-08-01,2011,"Q3","2011/12","Q1","August",,198.10992093219,,193.784017089723,,102.23233262858
2011-09-01,2011,"Q3","2011/12","Q1","September",,192.524628535701,,188.596264838766,,102.082948832679
