"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_SEC","EXP_NWR_RAW","EXP_NWR_AGR","EXP_NWR_EDU","EXP_NWR_HEA","EXP_NWR_WAE","EXP_NWR_JLO","EXP_NWR_ACC","EXP_NWR_EAM","EXP_NWR_TTI","EXP_NWR_LHUD","EXP_NWR_SD","EXP_NWR_ICT","EXP_NWR_PSM","EXP_NWR_PAD","EXP_NWR_PARL","EXP_NWR_STD","EXP_NWR_TOU","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,21.3605035283949,15.7543294002131,5.6061741281818,98.0179635343333,22.515461169,21.3605035283949,141.893928231728
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,18.6339396150051,16.6896767013691,1.944262913636,101.418566033333,40.855698,18.6339396150051,160.908203648338
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,19.3682936939794,18.2737803636886,1.09451333029074,135.794984033333,0,19.3682936939794,155.163277727313
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,19.8288139146208,18.5675980982188,1.261215816402,34.987570851075,18.26503770175,19.8288139146208,73.0814224674459
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,24.8094551870693,21.5846403779793,3.22481480909,123.248685479075,14.34897124775,24.8094551870693,162.407111913894
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,24.796042222579,19.8392578442872,4.9567843782918,147.433678799075,15.83421883775,24.796042222579,188.063939859404
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,25.888176465893,20.6342609648552,5.2539155010378,142.874755597075,18.20731749775,25.888176465893,186.970249560718
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,24.5756770786997,22.9825036392984,1.5931734394013,116.867410273742,30.67715649775,24.5756770786997,172.120243850191
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,24.2166316974927,21.1688642368323,3.0477674606604,58.8849059717417,6.05257649775,24.2166316974927,89.1541141669844
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,25.9225403158249,24.5270972722359,1.395443043589,113.769110804075,19.4130415,25.9225403158249,159.1046926199
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,25.233867897818,21.7849321282188,3.4489357695992,75.683441868075,23.0636655,25.233867897818,123.980975265893
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,27.8928695691022,22.7339650202062,5.158904548896,60.882355639075,7.287028149,27.8928695691022,96.0622533571772
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,28.3257927745783,23.8094483209996,4.5163444535788,117.160752768075,51.8002385,28.3257927745783,197.286784042653
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,29.541964703759,27.7610170829526,1.7809476208064,118.825021049742,12.188739,29.541964703759,160.555724753501
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,28.3737010738415,25.9743936511481,2.3993074226934,135.997579239742,2.001259,28.3737010738415,166.372539313583
2008-07-01,2008,"Q3","2008/09","Q1","July",27.979803701,22.076794239,0.81770299,9.084263987,5.97950192083333,0.239473715,6.660964344,11.4982574943333,0.0500076,0.997207439,0,0.358511932,0.0234595,12.8719047616667,9.615575401,0,,,,29.8845736960134,29.1334742859204,0.751099410092935,86.7834104271617,21.4700185976716,29.8845736960134,138.138002720847
2008-08-01,2008,"Q3","2008/09","Q1","August",13.155519288,19.654185292,3.949671676,12.577614687,20.3546256038333,0.836517151,6.208754937,11.7215631773333,0.313684292,0.812425455,0.156461889,1.209757469,0.1559514,10.8044410416667,8.711005384,10.500383773,,,,27.6932648831496,24.992515680639,2.7007492025106,98.7669570051617,22.3556055106716,27.6932648831496,148.815827398983
2008-09-01,2008,"Q3","2008/09","Q1","September",7.704032279,13.420290592,1.238715232,17.363176269,7.14388003983333,0.459155787,5.155021757,10.8509722183333,0.191033276,1.078930129,0.211358097,1.483229967,0.096039789,14.6091602826667,7.728097495,6.763562773,,,,29.6804634923506,24.8830102517784,4.7974532405722,86.6444024511617,8.85225353167164,29.6804634923506,125.177119475184
2008-10-01,2008,"Q4","2008/09","Q2","October",45.058023961,14.093013344,6.827639005,12.221896612,10.1290957598333,0.384332732,13.349281199,15.0257554243333,0.186448843,0.979798705,0.213305447,0.944461127,0.072652328,29.8944459186666,12.703737086,8.400642639,,,,35.3641174661405,27.8146592429202,7.54945822322032,124.853209773162,45.6313203576716,35.3641174661405,205.848647596974
2008-11-01,2008,"Q4","2008/09","Q2","November",10.147735867,38.381003632,3.481342468,22.729297178,20.5578601328333,0.945899644,10.321120017,11.9289760893333,0.293279512,1.795418259,0.343020214,1.390682092,0.078198517,21.2121792746667,8.124477672,12.716347176,,,,27.1427772063934,25.2872792048789,1.85549800151446,136.232940522162,28.2138972226716,27.1427772063934,191.589614951227
2008-12-01,2008,"Q4","2008/09","Q2","December",13.205829391,11.755971018,1.387814415,6.164409875,8.35222586983333,0.468848979,9.565838084,13.3098726463333,0.247100571,1.117880074,0.319211928,0.599197096,0.116396974,13.2945098276667,9.102577228,6.405229525,,,,28.5808705009382,25.2924756897896,3.28839481114858,89.8717156331617,5.54119786867164,28.5808705009382,123.993784002772
2009-01-01,2009,"Q1","2008/09","Q3","January",14.226695101,5.558201931,16.014224388,12.525670938,9.99035238783334,0.358972905,13.945808017,15.7031075683333,0.061028403,1.24702411,0.149087679,1.592887925,0.034421049,15.3335870286666,9.672899555,13.061407362,,,,28.9516934663307,27.9321444298564,1.01954903647425,102.721273193162,26.7541031546716,28.9516934663307,158.427069814164
2009-02-01,2009,"Q1","2008/09","Q3","February",38.806012879,18.756390887,3.72420869,17.388930899,14.2388664868333,1.064758763,6.463849083,16.0368513303333,0.180295339,1.232475408,0.226799027,0.471777998,0.070060928,16.9008663366666,9.349911011,11.60978432,,,,28.1439936224969,25.0582929083269,3.08570071417005,133.566222811162,22.9556165746716,28.1439936224969,184.66583300833
2009-03-01,2009,"Q1","2008/09","Q3","March",9.523930931,36.461731486,1.205351568,10.213144775,32.3337604808333,0.31111283,6.8870424,13.7889839013333,0.441516974,0.914907778,0.148423629,0.572385502,0.07846896,19.3953352406667,10.376145844,7.078587772,,,,31.5409589382943,24.2737625721991,7.26719636609527,133.737839632162,15.9929904396716,31.5409589382943,181.271789010128
2009-04-01,2009,"Q2","2008/09","Q4","April",20.343131813,26.77226181,2.624142084,15.246725689,16.7811262048333,0.290459446,12.99282993,18.6369123213333,0.112547403,0.750477328,0.158016433,0.651465527,0.133323465,14.9557590646667,12.868212078,7.988685218,,,,35.2346025294562,25.9534535068351,9.28114902262113,99.6652473031617,51.6408285116716,35.2346025294562,186.54067834429
2009-05-01,2009,"Q2","2008/09","Q4","May",47.281954361,8.610328587,3.435740079,21.640415872,26.3998338458333,1.206138454,10.255732569,15.4242359843333,0.371369139,2.012586836,0.46931775,1.955626403,0.082949189,13.5681193593334,16.028898461,6.198193311,,,,27.8507950436663,24.8114421260145,3.0393529176518,145.345769366828,29.5956708336716,27.8507950436663,202.792235244166
2009-06-01,2009,"Q2","2008/09","Q4","June",89.594091691,0.989152381,5.184453086,21.477330051,10.7600261628333,1.164147979,19.180059097,18.4612306343333,0.612850519,1.590803954,3.238043845,2.195266118,0.46619657,30.551508092,20.623687572,7.115352137,,,,27.7995550265292,24.8478961053497,2.9516589211795,231.797221405167,1.406978484,27.7995550265292,261.003754915696
2009-07-01,2009,"Q3","2009/10","Q1","July",33.163636354,15.394138,1.364772,17.995996654,15.612054,0.692973,4.697403931,11.8696990586667,0,0.1905786,0,2.405100773,0,33.775151815,9.318532216,10.171271704,,,,31.2757620426989,29.8668108674483,1.4089511752506,89.1514831056667,67.499825,31.2757620426989,187.927070148366
2009-08-01,2009,"Q3","2009/10","Q1","August",9.043950078,1.997072693,4.671013654,32.350045562,14.859373257,0.881347507,12.410573174,16.4227395546667,0.228033506,1.273851033,0.229688442,0.661054922,0.09874414,18.755394162,9.95607638,6.824053172,,,,31.3518547377561,28.2251830819668,3.1266716557893,130.647799236667,0.015212,31.3518547377561,162.014865974423
2009-09-01,2009,"Q3","2009/10","Q1","September",10.922497114,17.935119587,0.543995235,3.723115967,3.46369874,0.261012029,7.614123735,12.0512043676667,0.216157495,0.495992084,0.5025539,0.259860611,0.06239257,10.534267851,7.875766845,7.076652651,,,,35.1772019611009,27.7902533148219,7.386948646279,83.5231987816667,0.015212,35.1772019611009,118.715612742768
2009-10-01,2009,"Q4","2009/10","Q2","October",35.746860982,45.878053552,1.373108355,12.736527289,15.018060498,1.039779753,10.07337586,12.8295326146667,0.079556025,0.409422514,0.26982173,2.156073728,0.020899,65.931334294,16.631168673,8.395594026,,,,38.4184197651762,29.7925652289817,8.62585453619444,135.406646893667,93.182522,38.4184197651762,267.007588658843
2009-11-01,2009,"Q4","2009/10","Q2","November",14.655066633,17.808564945,4.331098243,26.14142751,5.189717638,0.985105548,48.193351715,17.8581902086667,0.256032477,2.020243909,1.912974191,1.097698753,0.168325801,49.755255475,13.269341047,7.413560695,,,,28.8403737455731,26.967763964952,1.87260978062108,211.055954788667,0,28.8403737455731,239.89632853424
2009-12-01,2009,"Q4","2009/10","Q2","December",8.850340062,26.203627091,1.517714674,6.922602071,9.809423447,0.254644454,15.5881762,13.9223822596667,0.19950226,0.573215881,0.802369137,0.401465054,0.06245676,4.699016488,11.483741837,7.915121107,,,,33.2299453892221,28.8161882056921,4.41375718353,109.205798782667,0,33.2299453892221,142.435744171889
