"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_AGRO","EXP_NWR_MID","EXP_NWR_SPD","EXP_NWR_MAN","EXP_NWR_TOD","EXP_NWR_NECLW","EXP_NWR_PSD","EXP_NWR_SED","EXP_NWR_ITIS","EXP_NWR_SUD","EXP_NWR_DIT","EXP_NWR_HCD","EXP_NWR_TTD","EXP_NWR_PST","EXP_NWR_CMC","EXP_NWR_GOS","EXP_NWR_DPI","EXP_NWR_RBD","EXP_NWR_ADJ","EXP_NWR_LEG","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2015-03-01,2015,"Q1","2014/15","Q3","March",16.128237897,3.698469178,2.099097857,5.54197866,8.504787608,0.565345986,24.647229427,16.486790156875,0.154393923,0.76056266,0.983639402,0.704419912,0.156387049,48.853772048,14.115772091,15.791801702,,,,,,106.452120568192,92.5484320959481,13.9036884722438,159.192685556875,0,106.452120568192,265.644806125067
2015-04-01,2015,"Q2","2014/15","Q4","April",98.437662567,2.699513801,8.426471035,72.923552903,25.327176362,2.011766146,28.520844263,35.1496504516667,0.110259476,2.566340277,1.134361056,3.042365617,0.252110353,53.923093093,74.558454975,18.066222886,,,,,,121.868401995756,102.806551955032,19.061850040724,314.332237662667,112.817607599,121.868401995756,549.018247257423
2015-05-01,2015,"Q2","2014/15","Q4","May",45.438222495,125.575445743,6.564284821,11.947802216,22.261562777,0.683485723,44.269007643,25.8500867906667,0.448673129,9.83873495,1.247332702,2.88792212,0.382488643,39.408044013,27.009538758,18.890621649,,,,,,102.176806730484,95.1527772440071,7.02402948647691,382.703254172667,0,102.176806730484,484.880060903151
2015-06-01,2015,"Q2","2014/15","Q4","June",120.116710221,6.851847168,8.53368216,10.999844787,8.507065516,1.056581023,31.733525933,27.0304257346667,0.292064506,2.803306651,0.540647452,1.251121623,0.632537387,29.311436727,87.904100235,33.729242688,,,,,,105.092102367026,95.4947064705593,9.59739589646688,371.294139811667,0,105.092102367026,476.386242178693
2015-07-01,2015,"Q3","2015/16","Q1","July",61.367625297,14.464114618,5.247410597,43.132155381,54.581609591,2.327911624,32.685935464,38.8716494159167,0.097593885,2.163760905,1.270565054,3.626714529,0.649883013,39.2951778915,55.92916754,54.915307693,,,,,,142.405851373147,129.78649651,12.6193548631465,336.364372334917,74.2622101635,142.405851373147,553.032433871563
2015-08-01,2015,"Q3","2015/16","Q1","August",70.543110394,89.962088665,11.54470967,8.321780404,25.772884621,3.887853218,45.651894657,18.4671093329167,0.442935967,2.018286043,0.875159383,2.702865243,0.87748253,17.933317625,48.944599287,13.578522784,,,,,,91.3777899877348,83.064254348,8.31353563973477,357.251180492917,4.273419331,91.3777899877348,452.902389811651
2015-09-01,2015,"Q3","2015/16","Q1","September",57.007734608,8.217621496,10.093133647,72.229153551,11.338776278,0.847333908,25.60340412,16.2305647229167,0.09947159,1.520082413,0.578618121,0.859200275,0.335550009,6.638570169,62.520377345,13.899291671,,,,,,155.610714451675,125.369699334,30.2410151176746,222.904466923917,65.114417,155.610714451675,443.629598375591
2015-10-01,2015,"Q4","2015/16","Q2","October",96.049082537,47.048997391,7.15467261953953,45.5785089805971,46.519214697,2.425063722,46.135978858,32.1928742556097,0.185909894,2.10986132,1.209369238,2.59705863149124,0.321548997,48.99701827083,82.159659933,35.172602024,,,,,,90.3002781917664,80.135009007,10.1652691847664,454.138544991917,41.718876377151,90.3002781917664,586.157699560834
2015-11-01,2015,"Q4","2015/16","Q2","November",28.88913725,35.139007703,7.279768309,11.231447346,35.9878619513881,1.674728437,53.280468406,15.0847398439167,0.339180393,2.576903813,0.563496875,0.939274021,0.649223086,23.046526515,40.658276248,18.54957069,,,,,,131.408839047846,123.093601072,8.31523797584591,253.286929676917,22.6026812103881,131.408839047846,407.298449935151
2015-12-01,2015,"Q4","2015/16","Q2","December",60.871846438,43.359060474,5.317481583,13.289260305,8.245996887,1.106320571,33.097169107,18.9801290899167,0.25773284,6.415697661,0.579906038,0.993193115,0.144420351,20.488773677,108.812796384,39.791383141,,,,,,132.2561698181,115.891579606,16.3645902121001,354.200352217917,7.550815444,132.2561698181,494.007337480017
2016-01-01,2016,"Q1","2015/16","Q3","January",96.748343703,50.722677287,14.6493965385395,124.243506063968,92.7102196632209,5.880781183,26.984339832,31.3751391086097,0.183530731,1.184839528,0.155874701,3.86222950749124,1.365252007,37.178311804305,48.010843919,42.297449728,,,,,,185.357454860389,148.312799589,37.0446552713889,447.912087918917,129.640647386217,185.357454860389,762.910190165523
