"Date","Year","Quarter","FY","QFY","Month","EXP_DDEV_SEC","EXP_DDEV_RAW","EXP_DDEV_AGR","EXP_DDEV_EDU","EXP_DDEV_HEA","EXP_DDEV_WAE","EXP_DDEV_JLO","EXP_DDEV_ACC","EXP_DDEV_EAM","EXP_DDEV_TTI","EXP_DDEV_LHUD","EXP_DDEV_SD","EXP_DDEV_ICT","EXP_DDEV_PSM","EXP_DDEV_PAD","EXP_DDEV_PARL","EXP_DDEV_STD","EXP_DDEV_TOU","EXP_DDEV_LGOV","EXP_DDEV_I","EXP_DDEV_I_DOM","EXP_DDEV_I_EXT","EXP_DDEV_CEN_TOT","EXP_DDEV_LGP_TOT","EXP_DDEV_I_TOT","EXP_DDEV"
2005-07-01,2005,"Q3","2005/06","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,0.367070744999999,18.193772,,18.560842745
2005-08-01,2005,"Q3","2005/06","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,26.933316815,8.150626,,35.083942815
2005-09-01,2005,"Q3","2005/06","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,16.451490518,13.789332754,,30.240823272
2005-10-01,2005,"Q4","2005/06","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,21.003538636,29.262701,,50.266239636
2005-11-01,2005,"Q4","2005/06","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,41.705189356,6.367739,,48.072928356
2005-12-01,2005,"Q4","2005/06","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,28.808566929,6.522152,,35.330718929
2006-01-01,2006,"Q1","2005/06","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,22.319883056,6.266966,,28.586849056
2006-02-01,2006,"Q1","2005/06","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,28.464822766,28.519517,,56.984339766
2006-03-01,2006,"Q1","2005/06","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,19.626833875,0.909777,,20.536610875
2006-04-01,2006,"Q2","2005/06","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,30.020849138,26.360831,,56.381680138
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,43.714879674,15.991087,,59.705966674
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,73.9314330171369,4.9791671,,78.9106001171369
